355.5,1.058,6.07E+01
356.5,0.938,6.16E+01
357.5,0.891,6.25E+01
358.5,0.627,6.31E+01
359.5,1.136,6.43E+01
360.5,0.979,6.53E+01
361.5,0.894,6.62E+01
362.5,1.175,6.73E+01
363.5,0.958,6.83E+01
364.5,1.015,6.93E+01
365.5,1.263,7.06E+01
366.5,1.249,7.18E+01
367.5,1.214,7.30E+01
368.5,1.088,7.41E+01
369.5,1.331,7.55E+01
370.5,1.075,7.65E+01
371.5,1.307,7.78E+01
372.5,1.065,7.89E+01
373.5,0.838,7.97E+01
374.5,0.878,8.06E+01
375.5,1.141,8.18E+01
376.5,1.101,8.29E+01
377.5,1.291,8.41E+01
378.5,1.341,8.55E+01
379.5,1,8.65E+01
380.5,1.289,8.78E+01
381.5,1.096,8.89E+01
382.5,0.733,8.96E+01
383.5,0.684,9.03E+01
384.5,1.027,9.13E+01
385.5,0.954,9.23E+01
386.5,1.071,9.33E+01
387.5,0.966,9.43E+01
388.5,0.912,9.52E+01
389.5,1.227,9.64E+01
390.5,1.223,9.77E+01
391.5,1.398,9.91E+01
392.5,0.955,1.00E+02
393.5,0.489,1.01E+02
394.5,1.101,1.02E+02
395.5,1.378,1.03E+02
396.5,0.65,1.04E+02
397.5,1.04,1.05E+02
398.5,1.538,1.06E+02
399.5,1.655,1.08E+02
400.5,1.649,1.10E+02
401.5,1.796,1.11E+02
402.5,1.803,1.13E+02
403.5,1.658,1.15E+02
404.5,1.602,1.16E+02
405.5,1.672,1.18E+02
406.5,1.624,1.20E+02
407.5,1.545,1.21E+02
408.5,1.824,1.23E+02
409.5,1.706,1.25E+02
410.5,1.502,1.26E+02
411.5,1.819,1.28E+02
412.5,1.791,1.30E+02
413.5,1.758,1.32E+02
414.5,1.739,1.33E+02
415.5,1.736,1.35E+02
416.5,1.844,1.37E+02
417.5,1.667,1.39E+02
418.5,1.686,1.40E+02
419.5,1.703,1.42E+02
420.5,1.76,1.44E+02
421.5,1.799,1.46E+02
422.5,1.584,1.47E+02
423.5,1.713,1.49E+02
424.5,1.77,1.51E+02
425.5,1.697,1.52E+02
426.5,1.7,1.54E+02
427.5,1.571,1.56E+02
428.5,1.589,1.57E+02
429.5,1.477,1.59E+02
430.5,1.136,1.60E+02
431.5,1.688,1.62E+02
432.5,1.648,1.63E+02
433.5,1.733,1.65E+02
434.5,1.672,1.67E+02
435.5,1.725,1.68E+02
436.5,1.931,1.70E+02
437.5,1.808,1.72E+02
438.5,1.569,1.74E+02
439.5,1.827,1.75E+02
440.5,1.715,1.77E+02
